COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Lao People's Democratic Republic,LAO,WPRO,REPORTING,2021-04-24,179525,122310,2.468,1.681,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2020-11-25,5
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,2021-04-26,38396,21445,66.71,37.259,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-19,3
Philippines,PHL,WPRO,REPORTING,2021-04-23,1676687,1444515,1.53,1.318,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Bharat - Covaxin,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-01,9
San Marino,SMR,EURO,REPORTING,2021-04-25,25790,17212,76,50.716,"Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-02-24,2
Finland,FIN,EURO,REPORTING,2021-04-25,1685446,1531894,30.5,27.725,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Angola,AGO,AFRO,REPORTING,2021-05-03,513918,513918,1.564,1.564,SII - Covishield,2021-03-10,1
Malta,MLT,EURO,REPORTING,2021-04-25,265824,174171,51.7,33.848,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Chile,CHL,AMRO,REPORTING,2021-04-30,14622372,8052578,76.492,42.124,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-21,3
Antigua and Barbuda,ATG,AMRO,REPORTING,2021-04-30,30427,30407,31.07,31.05,"AstraZeneca - AZD1222,SII - Covishield",2021-02-19,2
Guinea,GIN,AFRO,REPORTING,2021-05-03,143534,95312,1.093,0.726,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-05,6
Tajikistan,TJK,EURO,REPORTING,2021-04-25,43851,43851,0.5,0.46,AstraZeneca - AZD1222,2021-04-07,1
Albania,ALB,EURO,OWID,2021-04-28,400064,,13.9,,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty",2021-01-13,2
Latvia,LVA,EURO,REPORTING,2021-04-25,244170,206996,12.8,10.851,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Guam,GUM,WPRO,REPORTING,2021-04-26,122331,73290,72.482,43.425,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-04,3
El Salvador,SLV,AMRO,REPORTING,2021-04-30,907028,838860,13.984,12.933,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-17,3
Spain,ESP,EURO,REPORTING,2021-04-25,14688229,10768999,31,22.752,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,3
